surface_form_lemma_pair_frequency_rank_id	surface_form_id	lemma_id	pair_frequency_sn_sum	pair_frequency_sn_sum_rank
1	4	1	9573748	1
2	1	3	7560594.212928693506002674816	2
3	6	5	6835865	3
4	3	4	6598677	4
5	5	8	5774047	5
6	7	7	5553577.000000000000000000001	6
7	2	6	5030090.221328362464823904005	7
8	11	10	3969947	8
9	8	11	3514592	9
10	10	2	3065759	10
11	13	15	2559284	11
12	15	17	2180031	12
13	9	16	2085726	13
14	14	19	1808155	14
15	12	20	1690419	15
16	16	22	1544840	16
17	30	24	1352057	17
18	19	25	1334844	18
19	43	26	1177425	19
20	22	30	1034211	20
21	37	33	963614	21
22	17	14	952505	22
23	67	34	952356	23
24	35	35	935946	24
25	28	36	922000.6550079622888337523769	25
26	31	13	866520.2465971861262102564554	26
27	18	14	810739	27
28	53	2	769756	28
29	23	6	716381.5545089442904531579686	29
30	20	14	701055	30
31	24	6	661578.5569811382131452395539	31
32	55	7	656924	32
33	26	9	650401	33
34	52	2	622585	34
35	72	9	599290	35
36	46	2	590578	36
37	60	38	583064	37
38	25	49	579494	38
39	41	27	569567	39
40	71	2	567108	40
41	54	12	543934	41
42	65	55	542130	42
43	77	9	540133	43
44	61	9	538127	44
45	66	2	534241	45
46	32	58	514643.3321341003674877256725	46
47	44	61	501576	47
48	62	4	484507	48
49	21	21	472850.7355981850554247314916	49
50	33	13	469531.1905431721447689414538	50
51	102	12	468571	51
52	42	63	465744	52
53	29	2	464852	53
54	167	18	456311	54
55	64	54	451367	55
56	114	18	451030	56
57	47	74	434195	57
58	27	21	428012	58
59	839	76	426930	59
60	59	69	424875	60
61	39	60	422915	61
62	45	48	415980	62
63	149	80	414884	63
64	343	82	412647	64
65	316	29	404876	65
66	51	9	398644	66
67	88	83	396759	67
68	40	51	393371.7283164978141179630265	68
69	23	12	383691.0110847252115946172765	69
70	56	86	376065	70
71	50	66	374634.4225674760223909865583	71
72	38	31	370936	72
73	139	70	365598	73
74	34	21	364193	74
75	74	41	361617	75
76	49	79	359436	76
77	173	93	358766	77
78	119	29	356917	78
79	95	95	353496	79
80	208	99	348325	80
81	68	84	342246	81
82	36	2	340992	82
83	78	78	332354	83
84	101	2	328390	84
85	329	102	327892	85
86	94	12	325039.0238287898657886659784	86
87	85	9	324479	87
88	105	103	320479.7025802639353949182588	88
89	32	23	315032.6678658996325122743275	89
90	187	107	306141	90
91	75	9	300517	91
92	155	12	297908	92
93	80	72	292815	93
94	172	40	280579	94
95	93	112	268100	95
96	48	13	261684	96
97	57	23	259966	97
98	24	12	258710.4430188617868547604461	98
99	70	115	254256	99
100	146	116	253924	100
101	2	12	253846.7786716375351760959952	101
102	222	18	248385	102
103	217	119	247686	103
104	241	71	246729	104
105	411	123	246635	105
106	111	12	241919	106
107	96	27	239257.3734974378621713519468	107
108	103	9	235124	108
109	100	41	232112	109
110	58	21	231947	110
111	87	67	231888	111
112	153	131	229464	112
113	97	132	228348	113
114	79	133	228249	114
115	63	31	226408	115
116	91	100	226046	116
117	82	13	224312.2752084146041928539436	117
118	69	32	222130	118
119	126	137	219624	119
120	212	9	218818	120
121	89	139	218153	121
122	214	141	215325	122
123	104	9	214568.23149399902993777154	123
124	73	28	210334	124
125	160	13	208738.3095642331635540464063	125
126	124	27	208552	126
127	133	57	208375	127
128	113	50	207391	128
129	312	18	207198	129
130	81	148	205195	130
131	179	37	202352	131
132	262	2	199602	132
133	224	121	199445.583174510639252001166	133
134	175	153	198929	134
135	427	18	196395	135
136	145	45	196269	136
137	130	46	190929	137
138	181	68	185733	138
139	178	159	185149	139
140	159	4	182738	140
141	193	162	181996.9520010842836950839352	141
142	320	2	180521.426426523182008570416	142
143	118	53	178876	143
144	171	44	178386	144
145	127	120	178262	145
146	110	166	177958	146
147	196	105	177502	147
148	204	97	177379	148
149	209	111	175408	149
150	115	110	174860	150
151	76	28	174299	151
152	210	53	172476	152
153	183	53	171419	153
154	235	38	171238	154
155	300	1	170189	155
156	112	28	170180	156
157	141	45	168838.2652006778820319927252	157
158	166	9	167867	158
159	157	50	166585	159
160	107	179	164632	160
161	405	18	164098	161
162	117	43	162348	162
163	199	88	160591	163
164	281	193	160184	164
165	253	194	159501	165
166	170	43	159458	166
167	279	59	158078	167
168	143	16	157335	168
169	168	42	155874.0479051666585250679823	169
170	327	23	155108	170
171	169	6	153992.7429046238065756459969	171
172	201	39	153891	172
173	176	37	153827.8312352478363493312353	173
174	896	94	153810	174
175	468	47	152012	175
176	92	136	151889	176
177	84	23	151423	177
178	128	142	150677	178
179	311	201	150453	179
180	425	18	149878	180
181	86	186	149398	181
182	125	158	148368	182
183	147	59	147627	183
184	98	2	146735	184
185	90	42	145980.5767562577296242749395	185
186	106	32	144833	186
187	11620	122	144504	187
188	416	213	141982	188
189	174	216	141695.0679778467287225169319	189
190	165	145	140962	190
191	99	32	140034	191
192	485	221	138871	192
193	237	9	138437	193
194	109	2	137541	194
195	132	16	136348.8416788265110206589356	195
196	674	230	133058	196
197	270	231	132677	197
198	148	41	132670	198
199	597	151	132259	199
200	234	12	132171	200
201	307	48	131208.392956074396517609814	201
202	247	143	130737	202
203	473	105	129414	203
204	129	23	129106	204
205	231	219	128845.1002289377289377289377	205
206	189	13	128412	206
207	151	128	127832	207
208	144	51	127752	208
209	280	65	126834	209
210	265	197	126732	210
211	274	92	125892	211
212	83	211	125082.6801907704708806341103	212
213	163	67	124510	213
214	293	77	124504	214
215	271	59	123256	215
216	136	85	122874	216
217	604	114	122174	217
218	369	18	121754	218
219	624	62	121676	219
220	413	68	119535	220
221	545	50	119526	221
222	250	259	119428	222
223	140	261	118819	223
224	203	81	118714	224
225	134	90	118650	225
226	194	237	118470	226
227	301	168	117819	227
228	190	157	117648	228
229	317	241	116437	229
230	1759	152	114454	230
231	571	108	113557	231
232	223	268	113135	232
233	123	42	112357	233
234	285	57	112112	234
235	500	273	111197	235
